"Date,Description,Amount,Type"
"2024-01-02,Salary Deposit,3500.00,Credit"
"2024-01-03,Netflix Subscription,15.99,Debit"
"2024-01-04,Jollibee,-320.50,Debit"
"2024-01-05,Grab Ride,-85.00,Debit"
"2024-01-06,SM Supermarket,-1200.00,Debit"
"2024-01-08,Meralco Bill,-950.00,Debit"
"2024-01-10,Mercury Drug,-430.00,Debit"
"2024-01-12,Grab Food,-560.00,Debit"
"2024-01-14,SM Department Store,-2100.00,Debit"
"2024-01-15,PLDT Internet Bill,-1299.00,Debit"
"2024-01-18,Grab Ride,-120.00,Debit"
"2024-01-20,Freelance Payment,5000.00,Credit"
"2024-01-21,Jollibee,-280.00,Debit"
"2024-01-22,BDO ATM Withdrawal,-500.00,Debit"
"2024-01-24,Watsons,-650.00,Debit"
"2024-01-26,Grab Food,-430.00,Debit"
"2024-01-28,Cinema Ticket,-350.00,Debit"
"2024-01-29,Grab Ride,-95.00,Debit"
"2024-01-30,Savemore Grocery,-880.00,Debit"
